Time (s),CH1_Voltage (V),CH2_Voltage (V)
-0.0076500000000000005,0.08,0.014
-0.00764,0.08,0.014
-0.0076300000000000005,0.08,0.014
-0.00762,0.16,0.014
-0.0076100000000000004,0.16,0.014
-0.0076,0.16,0.014
-0.00759,0.08,0.012
-0.00758,0.16,0.012
-0.00757,0.16,0.012
-0.00756,0.08,0.014
-0.00755,0.16,0.014
-0.007540000000000001,0.08,0.01
-0.00753,0.16,0.014
-0.007520000000000001,0.16,0.012
-0.00751,0.08,0.014
-0.007500000000000001,0.16,0.012
-0.00749,0.08,0.012
-0.0074800000000000005,0.08,0.012
-0.00747,0.08,0.014
-0.0074600000000000005,0.08,0.012
-0.00745,0.08,0.014
-0.00744,0.08,0.012
-0.00743,0.16,0.012
-0.00742,0.08,0.012
-0.00741,0.16,0.014
-0.0074,0.16,0.012
-0.00739,0.08,0.014
-0.00738,0.16,0.012
-0.007370000000000001,0.16,0.012
-0.00736,0.08,0.012
-0.007350000000000001,0.16,0.012
-0.00734,0.16,0.012
-0.007330000000000001,0.08,0.012
-0.00732,0.08,0.012
-0.0073100000000000005,0.16,0.012
-0.0073,0.16,0.014
-0.0072900000000000005,0.08,0.012
-0.00728,0.16,0.01
-0.00727,0.08,0.012
-0.00726,0.08,0.01
-0.00725,0.08,0.01
-0.00724,0.16,0.01
-0.00723,0.16,0.01
-0.00722,0.08,0.01
-0.00721,0.08,0.01
-0.007200000000000001,0.16,0.01
-0.00719,0.16,0.012
-0.007180000000000001,0.08,0.012
-0.00717,0.08,0.01
-0.0071600000000000006,0.16,0.01
-0.00715,0.08,0.01
-0.0071400000000000005,0.16,0.012
-0.00713,0.08,0.01
-0.0071200000000000005,0.08,0.01
-0.00711,0.08,0.012
-0.0071,0.16,0.01
-0.00709,0.08,0.01
-0.00708,0.16,0.012
-0.00707,0.08,0.012
-0.00706,0.16,0.012
-0.00705,0.16,0.012
-0.00704,0.16,0.012
-0.007030000000000001,0.16,0.012
-0.00702,0.16,0.012
-0.007010000000000001,0.08,0.012
-0.007,0.16,0.012
-0.0069900000000000006,0.16,0.01
-0.00698,0.16,0.01
-0.0069700000000000005,0.08,0.01
-0.00696,0.16,0.01
-0.0069500000000000004,0.16,0.012
-0.00694,0.16,0.01
-0.00693,0.08,0.01
-0.00692,0.08,0.012
-0.00691,0.16,0.01
-0.0069,0.16,0.01
-0.00689,0.08,0.01
-0.00688,0.08,0.012
-0.00687,0.08,0.012
-0.006860000000000001,0.16,0.01
-0.00685,0.08,0.01
-0.006840000000000001,0.16,0.01
-0.00683,0.08,0.01
-0.0068200000000000005,0.16,0.008
-0.00681,0.08,0.01
-0.0068000000000000005,0.16,0.01
-0.00679,0.08,0.012
-0.0067800000000000004,0.08,0.01
-0.00677,0.16,0.01
-0.00676,0.16,0.01
-0.00675,0.16,0.01
-0.00674,0.16,0.01
-0.00673,0.16,0.01
-0.00672,0.16,0.01
-0.00671,0.08,0.012
-0.0067,0.16,0.01
-0.006690000000000001,0.16,0.01
-0.00668,0.16,0.01
-0.006670000000000001,0.08,0.012
-0.00666,0.16,0.01
-0.0066500000000000005,0.16,0.01
-0.00664,0.08,0.012
-0.0066300000000000005,0.16,0.01
-0.00662,0.16,0.012
-0.00661,0.16,0.01
-0.0066,0.16,0.01
-0.00659,0.08,0.012
-0.00658,0.08,0.01
-0.00657,0.08,0.01
-0.00656,0.16,0.008
-0.00655,0.08,0.01
-0.00654,0.08,0.01
-0.00653,0.16,0.01
-0.006520000000000001,0.16,0.01
-0.00651,0.16,0.01
-0.006500000000000001,0.08,0.01
-0.00649,0.16,0.01
-0.0064800000000000005,0.16,0.01
-0.00647,0.16,0.01
-0.0064600000000000005,0.16,0.01
-0.00645,0.16,0.01
-0.00644,0.16,0.01
-0.00643,0.08,0.01
-0.00642,0.16,0.01
-0.00641,0.08,0.01
-0.0064,0.16,0.01
-0.00639,0.08,0.01
-0.00638,0.16,0.01
-0.00637,0.08,0.012
-0.00636,0.08,0.01
-0.006350000000000001,0.16,0.01
-0.00634,0.08,0.012
-0.0063300000000000006,0.08,0.01
-0.00632,0.08,0.012
-0.0063100000000000005,0.16,0.012
-0.0063,0.16,0.01
-0.0062900000000000005,0.08,0.01
-0.00628,0.08,0.01
-0.00627,0.16,0.012
-0.00626,0.08,0.01
-0.00625,0.08,0.012
-0.00624,0.08,0.01
-0.00623,0.08,0.01
-0.00622,0.08,0.01
-0.00621,0.16,0.01
-0.0062,0.08,0.01
-0.00619,0.08,0.01
-0.006180000000000001,0.16,0.01
-0.00617,0.16,0.01
-0.0061600000000000005,0.16,0.01
-0.00615,0.16,0.01
-0.0061400000000000005,0.08,0.01
-0.00613,0.16,0.01
-0.0061200000000000004,0.08,0.01
-0.00611,0.08,0.01
-0.0061,0.08,0.01
-0.00609,0.16,0.01
-0.00608,0.08,0.01
-0.00607,0.16,0.01
-0.00606,0.16,0.012
-0.00605,0.16,0.01
-0.00604,0.08,0.01
-0.00603,0.16,0.012
-0.00602,0.16,0.01
-0.006010000000000001,0.08,0.012
-0.006,0.16,0.01
-0.0059900000000000005,0.08,0.012
-0.00598,0.16,0.01
-0.0059700000000000005,0.08,0.01
-0.00596,0.16,0.01
-0.00595,0.16,0.01
-0.00594,0.16,0.012
-0.00593,0.08,0.01
-0.00592,0.16,0.01
-0.00591,0.16,0.01
-0.0059,0.16,0.012
-0.00589,0.08,0.012
-0.00588,0.08,0.01
-0.00587,0.16,0.01
-0.00586,0.16,0.01
-0.00585,0.08,0.01
-0.005840000000000001,0.08,0.01
-0.00583,0.16,0.01
-0.0058200000000000005,0.08,0.01
-0.00581,0.16,0.01
-0.0058000000000000005,0.08,0.01
-0.00579,0.16,0.01
-0.00578,0.16,0.01
-0.00577,0.08,0.01
-0.00576,0.16,0.01
-0.00575,0.16,0.01
-0.00574,0.16,0.01
-0.00573,0.16,0.01
-0.00572,0.08,0.01
-0.00571,0.08,0.012
-0.0057,0.16,0.01
-0.00569,0.08,0.012
-0.00568,0.08,0.012
-0.0056700000000000006,0.16,0.01
-0.00566,0.16,0.012
-0.0056500000000000005,0.08,0.012
-0.00564,0.16,0.012
-0.0056300000000000005,0.08,0.01
-0.00562,0.08,0.012
-0.00561,0.16,0.01
-0.0056,0.16,0.012
-0.00559,0.16,0.01
-0.00558,0.08,0.012
-0.00557,0.16,0.012
-0.00556,0.08,0.012
-0.00555,0.16,0.012
-0.00554,0.16,0.012
-0.00553,0.16,0.01
-0.00552,0.08,0.012
-0.00551,0.16,0.01
-0.0055000000000000005,0.08,0.01
-0.00549,0.16,0.01
-0.0054800000000000005,0.16,0.01
-0.00547,0.08,0.01
-0.0054600000000000004,0.08,0.01
-0.00545,0.16,0.01
-0.00544,0.08,0.01
-0.00543,0.08,0.01
-0.00542,0.08,0.01
-0.00541,0.16,0.012
-0.0054,0.16,0.01
-0.00539,0.16,0.01
-0.00538,0.08,0.01
-0.00537,0.16,0.01
-0.00536,0.16,0.012
-0.00535,0.16,0.01
-0.00534,0.08,0.012
-0.0053300000000000005,0.16,0.012
-0.00532,0.08,0.012
-0.0053100000000000005,0.16,0.012
-0.0053,0.08,0.012
-0.00529,0.08,0.01
-0.00528,0.16,0.012
-0.00527,0.16,0.01
-0.00526,0.08,0.012
-0.00525,0.08,0.01
-0.00524,0.16,0.012
-0.00523,0.08,0.012
-0.00522,0.16,0.01
-0.00521,0.08,0.01
-0.0052,0.16,0.012
-0.00519,0.16,0.01
-0.00518,0.16,0.01
-0.00517,0.16,0.01
-0.0051600000000000005,0.16,0.01
-0.00515,0.16,0.01
-0.0051400000000000005,0.16,0.01
-0.00513,0.08,0.01
-0.00512,0.08,0.01
-0.00511,0.16,0.01
-0.0051,0.08,0.01
-0.00509,0.16,0.01
-0.00508,0.08,0.01
-0.00507,0.16,0.012
-0.00506,0.16,0.012
-0.00505,0.08,0.01
-0.00504,0.16,0.012
-0.00503,0.08,0.01
-0.00502,0.08,0.01
-0.00501,0.08,0.012
-0.005,0.16,0.01
-0.0049900000000000005,0.08,0.01
-0.00498,0.16,0.012
-0.0049700000000000005,0.08,0.01
-0.00496,0.16,0.012
-0.00495,0.16,0.012
-0.00494,0.08,0.01
-0.00493,0.16,0.012
-0.00492,0.16,0.012
-0.00491,0.16,0.012
-0.0049,0.08,0.012
-0.00489,0.16,0.01
-0.00488,0.08,0.012
-0.00487,0.08,0.01
-0.00486,0.16,0.012
-0.00485,0.16,0.01
-0.00484,0.16,0.01
-0.00483,0.08,0.01
-0.00482,0.16,0.01
-0.00481,0.08,0.01
-0.0048000000000000004,0.08,0.01
-0.00479,0.08,0.01
-0.00478,0.08,0.01
-0.00477,0.16,0.01
-0.00476,0.16,0.01
-0.00475,0.16,0.01
-0.00474,0.16,0.01
-0.00473,0.08,0.01
-0.00472,0.08,0.01
-0.00471,0.16,0.01
-0.0047,0.16,0.012
-0.00469,0.16,0.01
-0.00468,0.16,0.01
-0.0046700000000000005,0.16,0.01
-0.004659999999999999,0.16,0.01
-0.00465,0.16,0.01
-0.00464,0.08,0.012
-0.0046300000000000004,0.16,0.012
-0.004620000000000001,0.16,0.012
-0.0046099999999999995,0.08,0.012
-0.0046,0.08,0.012
-0.00459,0.16,0.012
-0.004580000000000001,0.16,0.012
-0.004569999999999999,0.16,0.012
-0.00456,0.16,0.012
-0.00455,0.08,0.012
-0.004540000000000001,0.08,0.01
-0.004529999999999999,0.16,0.01
-0.00452,0.16,0.01
-0.00451,0.16,0.01
-0.0045000000000000005,0.16,0.012
-0.004489999999999999,0.08,0.01
-0.00448,0.08,0.01
-0.00447,0.16,0.01
-0.00446,0.08,0.01
-0.004450000000000001,0.16,0.01
-0.0044399999999999995,0.16,0.01
-0.00443,0.08,0.01
-0.00442,0.08,0.01
-0.004410000000000001,0.08,0.01
-0.004399999999999999,0.08,0.01
-0.00439,0.16,0.01
-0.00438,0.08,0.01
-0.004370000000000001,0.08,0.01
-0.004359999999999999,0.16,0.01
-0.00435,0.08,0.01
-0.00434,0.08,0.01
-0.0043300000000000005,0.16,0.01
-0.004319999999999999,0.08,0.012
-0.00431,0.16,0.01
-0.0043,0.08,0.01
-0.00429,0.16,0.01
-0.004280000000000001,0.16,0.012
-0.0042699999999999995,0.16,0.01
-0.00426,0.08,0.012
-0.00425,0.16,0.012
-0.004240000000000001,0.08,0.01
-0.004229999999999999,0.16,0.012
-0.00422,0.16,0.01
-0.00421,0.16,0.014
-0.004200000000000001,0.08,0.01
-0.004189999999999999,0.16,0.012
-0.00418,0.16,0.01
-0.00417,0.16,0.012
-0.0041600000000000005,0.08,0.01
-0.004149999999999999,0.16,0.01
-0.00414,0.16,0.012
-0.00413,0.08,0.01
-0.00412,0.16,0.01
-0.004110000000000001,0.16,0.01
-0.0040999999999999995,0.08,0.01
-0.00409,0.16,0.01
-0.00408,0.16,0.008
-0.004070000000000001,0.08,0.01
-0.004059999999999999,0.08,0.01
-0.00405,0.08,0.01
-0.00404,0.16,0.012
-0.004030000000000001,0.16,0.01
-0.004019999999999999,0.16,0.012
-0.00401,0.08,0.01
-0.004,0.16,0.01
-0.0039900000000000005,0.16,0.012
-0.003979999999999999,0.08,0.01
-0.00397,0.08,0.01
-0.00396,0.08,0.012
-0.00395,0.08,0.012
-0.003940000000000001,0.08,0.012
-0.0039299999999999995,0.08,0.01
-0.00392,0.08,0.012
-0.00391,0.16,0.012
-0.0039000000000000007,0.16,0.012
-0.0038899999999999994,0.16,0.012
-0.0038799999999999998,0.16,0.012
-0.00387,0.08,0.012
-0.0038600000000000006,0.16,0.012
-0.0038499999999999993,0.08,0.012
-0.0038399999999999997,0.16,0.01
-0.00383,0.08,0.012
-0.0038200000000000005,0.08,0.014
-0.003809999999999999,0.16,0.01
-0.0037999999999999996,0.08,0.012
-0.00379,0.16,0.012
-0.0037800000000000004,0.08,0.01
-0.0037700000000000008,0.16,0.01
-0.0037599999999999995,0.16,0.01
-0.00375,0.16,0.01
-0.0037400000000000003,0.08,0.01
-0.0037300000000000007,0.08,0.01
-0.0037199999999999993,0.08,0.01
-0.0037099999999999998,0.16,0.012
-0.0037,0.08,0.01
-0.0036900000000000006,0.16,0.01
-0.0036799999999999992,0.08,0.012
-0.0036699999999999997,0.08,0.01
-0.00366,0.08,0.01
-0.0036500000000000005,0.08,0.01
-0.003639999999999999,0.16,0.012
-0.0036299999999999995,0.16,0.01
-0.00362,0.08,0.01
-0.0036100000000000004,0.16,0.01
-0.0036000000000000008,0.08,0.012
-0.0035899999999999994,0.08,0.01
-0.00358,0.08,0.01
-0.0035700000000000003,0.16,0.012
-0.0035600000000000007,0.16,0.01
-0.0035499999999999993,0.16,0.01
-0.0035399999999999997,0.08,0.01
-0.00353,0.08,0.01
