Time (s),CH1 Voltage (V),CH2 Voltage (V),CH3 Voltage (V),CH4 Voltage (V)
-0.182072,0.0,0.078,0.078,0.078
-0.182068,-0.2,0.07,0.07,0.07
-0.182064,0.2,0.082,0.082,0.082
-0.18206,0.0,0.078,0.078,0.078
-0.18205600000000002,0.2,0.074,0.074,0.074
-0.18205200000000002,-0.2,0.082,0.082,0.082
-0.18204800000000002,-0.4,0.082,0.082,0.082
-0.182044,-0.4,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18204,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.182036,-0.6000000000000001,0.074,0.074,0.074
-0.18203200000000003,-0.4,0.082,0.082,0.082
-0.18202800000000002,-0.2,0.082,0.082,0.082
-0.18202400000000002,-0.4,0.078,0.078,0.078
-0.18202000000000002,0.0,0.07,0.07,0.07
-0.182016,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.182012,-0.2,0.082,0.082,0.082
-0.182008,0.0,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.182004,-0.2,0.074,0.074,0.074
-0.18200000000000002,0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18199600000000002,0.0,0.078,0.078,0.078
-0.18199200000000001,0.2,0.074,0.074,0.074
-0.181988,-0.2,0.078,0.078,0.078
-0.181984,0.0,0.082,0.082,0.082
-0.18198,-0.4,0.082,0.082,0.082
-0.18197600000000003,-0.2,0.082,0.082,0.082
-0.18197200000000002,0.0,0.074,0.074,0.074
-0.18196800000000002,-0.2,0.082,0.082,0.082
-0.18196400000000001,0.4,0.082,0.082,0.082
-0.18196,-0.2,0.082,0.082,0.082
-0.181956,-0.4,0.082,0.082,0.082
-0.181952,-0.4,0.078,0.078,0.078
-0.181948,-0.2,0.082,0.082,0.082
-0.18194400000000002,-0.4,0.07,0.07,0.07
-0.18194000000000002,-0.2,0.074,0.074,0.074
-0.18193600000000001,-0.2,0.078,0.078,0.078
-0.181932,0.0,0.082,0.082,0.082
-0.181928,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.181924,-0.4,0.07,0.07,0.07
-0.18192000000000003,-0.6000000000000001,0.082,0.082,0.082
-0.18191600000000002,0.0,0.082,0.082,0.082
-0.18191200000000002,0.2,0.098,0.098,0.098
-0.18190800000000001,-0.2,0.078,0.078,0.078
-0.181904,0.0,0.074,0.074,0.074
-0.1819,-0.4,0.078,0.078,0.078
-0.181896,0.0,0.066,0.066,0.066
-0.181892,-0.2,0.074,0.074,0.074
-0.18188800000000002,0.2,0.074,0.074,0.074
-0.18188400000000002,0.0,0.09,0.09,0.09
-0.18188000000000001,-0.4,0.078,0.078,0.078
-0.181876,-0.4,0.074,0.074,0.074
-0.181872,0.0,0.082,0.082,0.082
-0.181868,-0.2,0.074,0.074,0.074
-0.18186400000000003,-0.2,0.074,0.074,0.074
-0.18186000000000002,-0.2,0.078,0.078,0.078
-0.18185600000000002,-0.8,0.082,0.082,0.082
-0.181852,0.0,0.082,0.082,0.082
-0.181848,0.0,0.078,0.078,0.078
-0.181844,0.0,0.078,0.078,0.078
-0.18184,0.4,0.082,0.082,0.082
-0.181836,-0.4,0.09,0.09,0.09
-0.18183200000000002,-0.2,0.078,0.078,0.078
-0.18182800000000002,-0.2,0.082,0.082,0.082
-0.181824,0.0,0.09,0.09,0.09
-0.18182,-0.2,0.07,0.07,0.07
-0.181816,-0.2,0.078,0.078,0.078
-0.181812,-0.2,0.082,0.082,0.082
-0.18180800000000003,0.0,0.078,0.078,0.078
-0.18180400000000002,0.2,0.078,0.078,0.078
-0.18180000000000002,0.0,0.09,0.09,0.09
-0.181796,0.6000000000000001,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.181792,-0.4,0.074,0.074,0.074
-0.181788,0.2,0.082,0.082,0.082
-0.181784,-0.2,0.078,0.078,0.078
-0.18178,0.2,0.082,0.082,0.082
-0.18177600000000002,-0.4,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18177200000000002,0.2,0.082,0.082,0.082
-0.181768,0.2,0.078,0.078,0.078
-0.181764,0.0,0.082,0.082,0.082
-0.18176,0.2,0.074,0.074,0.074
-0.181756,-0.2,0.078,0.078,0.078
-0.18175200000000002,-0.2,0.082,0.082,0.082
-0.18174800000000002,0.2,0.082,0.082,0.082
-0.18174400000000002,-0.2,0.074,0.074,0.074
-0.18174,-0.4,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.181736,-0.2,0.082,0.082,0.082
-0.181732,-0.2,0.078,0.078,0.078
-0.181728,0.0,0.078,0.078,0.078
-0.181724,-0.6000000000000001,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18172000000000002,-0.4,0.078,0.078,0.078
-0.18171600000000002,0.0,0.098,0.098,0.098
-0.181712,-0.4,0.074,0.074,0.074
-0.181708,-0.4,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.181704,-0.6000000000000001,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.1817,-0.2,0.078,0.078,0.078
-0.18169600000000002,0.0,0.074,0.074,0.074
-0.18169200000000002,-0.2,0.09,0.09,0.09
-0.18168800000000002,0.0,0.078,0.078,0.078
-0.181684,0.0,0.082,0.082,0.082
-0.18168,-0.2,0.066,0.066,0.066
-0.181676,0.0,0.074,0.074,0.074
-0.181672,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18166800000000002,0.0,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18166400000000002,-0.2,0.074,0.074,0.074
-0.18166000000000002,0.0,0.082,0.082,0.082
-0.181656,-0.2,0.078,0.078,0.078
-0.181652,0.2,0.07,0.07,0.07
-0.181648,-0.4,0.078,0.078,0.078
-0.181644,0.0,0.078,0.078,0.078
-0.18164000000000002,0.0,0.082,0.082,0.082
-0.18163600000000002,-0.4,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18163200000000002,-0.2,0.082,0.082,0.082
-0.181628,0.0,0.074,0.074,0.074
-0.181624,-0.2,0.082,0.082,0.082
-0.18162,-0.2,0.078,0.078,0.078
-0.181616,-0.2,0.074,0.074,0.074
-0.18161200000000002,-0.2,0.078,0.078,0.078
-0.18160800000000002,0.2,0.082,0.082,0.082
-0.18160400000000002,-0.4,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.1816,0.0,0.082,0.082,0.082
-0.181596,0.0,0.074,0.074,0.074
-0.181592,-0.2,0.09,0.09,0.09
-0.18158800000000003,0.0,0.082,0.082,0.082
-0.18158400000000002,-0.2,0.078,0.078,0.078
-0.18158000000000002,0.0,0.074,0.074,0.074
-0.18157600000000002,0.0,0.074,0.074,0.074
-0.181572,0.0,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.181568,-0.2,0.082,0.082,0.082
-0.181564,-0.4,0.082,0.082,0.082
-0.18156,-0.2,0.082,0.082,0.082
-0.18155600000000002,-0.2,0.066,0.066,0.066
-0.18155200000000002,0.0,0.09,0.09,0.09
-0.18154800000000001,0.2,0.09,0.09,0.09
-0.181544,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18154,0.6000000000000001,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.181536,-0.2,0.08600000000000001,0.08600000000000001,0.08600000000000001
-0.18153200000000003,0.0,0.082,0.082,0.082
-0.18152800000000002,0.0,0.082,0.082,0.082
-0.18152400000000002,0.2,0.082,0.082,0.082
-0.18152000000000001,0.0,0.07,0.07,0.07
-0.181516,-0.2,0.082,0.082,0.082
-0.181512,-0.2,0.074,0.074,0.074
-0.181508,0.2,0.078,0.078,0.078
-0.181504,-0.4,0.078,0.078,0.078
-0.18150000000000002,-0.4,0.08600000000000001,0.08600000000000001,0.08600000000000001
