Time (s),Voltage (V)
0.0040000000000000036,0.06
0.004040000000000002,0.06
0.00408,0.04
0.004119999999999999,0.02
0.004160000000000004,0.04
0.004200000000000002,0.06
0.004240000000000001,0.04
0.004279999999999999,0.04
0.004320000000000004,0.04
0.004360000000000003,0.04
0.004400000000000001,0.04
0.0044399999999999995,0.04
0.004480000000000005,0.04
0.004520000000000003,0.04
0.0045600000000000016,0.04
0.0046,0.04
0.004639999999999998,0.04
0.004680000000000004,0.04
0.004720000000000002,0.04
0.00476,0.06
0.004799999999999999,0.04
0.004840000000000004,0.04
0.004880000000000002,0.04
0.004920000000000001,0.06
0.004959999999999999,0.04
0.0050000000000000044,0.04
0.005040000000000003,0.04
0.005080000000000001,0.04
0.0051199999999999996,0.04
0.005160000000000005,0.04
0.005200000000000003,0.04
0.005240000000000002,0.04
0.00528,0.06
0.005319999999999998,0.04
0.005360000000000004,0.04
0.005400000000000002,0.04
0.00544,0.04
0.005479999999999999,0.04
0.005520000000000004,0.04
0.0055600000000000024,0.04
0.005600000000000001,0.04
0.005639999999999999,0.04
0.0056800000000000045,0.0
0.005720000000000003,0.04
0.005760000000000001,0.04
0.0058,0.02
0.005840000000000005,0.04
0.005880000000000003,0.02
0.005920000000000002,0.04
0.00596,0.04
0.005999999999999998,0.04
0.006040000000000004,0.04
0.006080000000000002,0.04
0.0061200000000000004,0.04
0.006159999999999999,0.04
0.006200000000000004,0.04
0.0062400000000000025,0.04
0.006280000000000001,0.04
0.006319999999999999,0.04
0.0063600000000000045,0.04
0.006400000000000003,0.06
0.006440000000000001,0.04
0.00648,0.04
0.006520000000000005,0.04
0.006560000000000003,0.04
0.006600000000000002,0.04
0.00664,0.04
0.0066799999999999984,0.04
0.006720000000000004,0.04
0.006760000000000002,0.06
0.0068000000000000005,0.04
0.006839999999999999,0.04
0.006880000000000004,0.04
0.0069200000000000025,0.02
0.006960000000000001,0.04
0.006999999999999999,0.04
0.007040000000000005,0.04
0.007080000000000003,0.04
0.007120000000000001,0.04
0.00716,0.04
0.007200000000000005,0.04
0.007240000000000003,0.04
0.007280000000000002,0.04
0.00732,0.04
0.0073599999999999985,0.04
0.007400000000000004,0.06
0.007440000000000002,0.04
0.0074800000000000005,0.04
0.007519999999999999,0.04
0.007560000000000004,0.04
0.007600000000000003,0.04
0.007640000000000001,0.04
0.007679999999999999,0.04
0.007720000000000005,0.04
0.007760000000000003,0.06
0.007800000000000001,0.04
0.00784,0.04
0.007880000000000005,0.04
0.007920000000000003,0.02
0.007960000000000002,0.04
0.008,0.04
0.008039999999999999,0.04
0.008080000000000004,0.04
0.008120000000000002,0.06
0.00816,0.04
0.008199999999999999,0.04
0.008240000000000004,0.04
0.008280000000000003,0.04
0.008320000000000001,0.04
0.00836,0.04
0.008400000000000005,0.02
0.008440000000000003,0.04
0.008480000000000001,0.04
0.00852,0.04
0.008560000000000005,0.04
0.008600000000000003,0.06
0.008640000000000002,0.04
0.00868,0.04
0.008719999999999999,0.04
0.008760000000000004,0.04
0.008800000000000002,0.04
0.00884,0.04
0.008879999999999999,0.04
0.008920000000000004,0.04
0.008960000000000003,0.04
0.009000000000000001,0.04
0.00904,0.04
0.009080000000000005,0.04
0.009120000000000003,0.04
0.009160000000000001,0.06
0.0092,0.02
0.009240000000000005,0.06
0.009280000000000004,0.04
0.009320000000000002,0.04
0.00936,0.04
0.009399999999999999,0.04
0.009440000000000004,0.04
0.009480000000000002,0.04
0.00952,0.04
0.009559999999999999,0.04
0.009600000000000004,0.04
0.009640000000000003,0.04
0.009680000000000001,0.04
0.00972,0.04
0.009760000000000005,0.06
0.009800000000000003,0.04
0.009840000000000002,0.06
0.00988,0.02
0.009920000000000005,0.04
0.009960000000000004,0.06
0.010000000000000002,0.06
0.01004,0.04
0.010079999999999999,0.04
0.010120000000000004,0.04
0.010160000000000002,0.04
0.0102,0.02
0.010239999999999999,0.04
0.010280000000000004,0.04
0.010320000000000003,0.04
0.010360000000000001,0.02
0.0104,0.04
0.010440000000000005,0.04
0.010480000000000003,0.04
0.010520000000000002,0.04
0.01056,0.04
0.010600000000000005,0.04
0.010640000000000004,0.04
0.010680000000000002,0.04
0.01072,0.04
0.010759999999999999,0.06
0.010800000000000004,0.04
0.010840000000000002,0.04
0.01088,0.04
0.01092,0.06
0.010960000000000004,0.04
0.011000000000000003,0.04
0.011040000000000001,0.04
0.01108,0.04
0.011120000000000005,0.04
0.011160000000000003,0.04
0.011200000000000002,0.04
0.01124,0.04
0.011280000000000005,0.04
0.011320000000000004,0.04
0.011360000000000002,0.04
0.0114,0.04
0.011440000000000006,0.04
0.011480000000000004,0.04
0.011520000000000002,0.04
0.01156,0.02
0.0116,0.04
0.011640000000000005,0.02
0.011680000000000003,0.04
0.011720000000000001,0.04
0.01176,0.06
0.011800000000000005,0.04
0.011840000000000003,0.04
0.011880000000000002,0.04
0.01192,0.02
0.011960000000000005,0.04
0.012000000000000004,0.04
0.012040000000000002,0.04
0.01208,0.04
0.012120000000000006,0.06
0.012160000000000004,0.04
0.012200000000000003,0.04
0.012240000000000001,0.04
0.01228,0.04
0.012320000000000005,0.04
0.012360000000000003,0.02
0.012400000000000001,0.06
0.01244,0.04
0.012480000000000005,0.04
0.012520000000000003,0.04
0.012560000000000002,0.04
0.0126,0.04
0.012639999999999998,0.04
0.012679999999999997,0.04
0.012720000000000009,0.04
0.012760000000000007,0.04
0.012800000000000006,0.04
0.012840000000000004,0.04
0.012880000000000003,0.04
0.012920000000000001,0.04
0.01296,0.04
0.012999999999999998,0.04
0.013039999999999996,0.04
0.013080000000000008,0.04
0.013120000000000007,0.04
0.013160000000000005,0.04
0.013200000000000003,0.04
0.013240000000000002,0.04
0.01328,0.04
0.013319999999999999,0.04
0.013359999999999997,0.04
0.013400000000000009,0.04
0.013440000000000007,0.04
0.013480000000000006,0.04
0.013520000000000004,0.04
0.013560000000000003,0.04
0.013600000000000001,0.04
0.01364,0.04
0.013679999999999998,0.04
0.013719999999999996,0.04
0.013760000000000008,0.04
0.013800000000000007,0.04
0.013840000000000005,0.04
0.013880000000000003,0.04
0.013920000000000002,0.04
0.01396,0.04
0.013999999999999999,0.04
0.014039999999999997,0.04
0.01408000000000001,0.06
0.014120000000000008,0.04
0.014160000000000006,0.06
0.014200000000000004,0.04
0.014240000000000003,0.04
0.014280000000000001,0.04
0.01432,0.04
0.014359999999999998,0.04
0.014399999999999996,0.04
0.014440000000000008,0.04
0.014480000000000007,0.04
0.014520000000000005,0.04
0.014560000000000003,0.04
0.014600000000000002,0.04
0.01464,0.04
0.014679999999999999,0.04
0.014719999999999997,0.04
0.01476000000000001,0.06
0.014800000000000008,0.04
0.014840000000000006,0.04
0.014880000000000004,0.02
0.014920000000000003,0.04
0.014960000000000001,0.04
0.015,0.04
0.015039999999999998,0.04
0.015079999999999996,0.02
0.015120000000000008,0.06
0.015160000000000007,0.04
0.015200000000000005,0.04
0.015240000000000004,0.04
0.015280000000000002,0.04
0.01532,0.04
0.015359999999999999,0.04
0.015399999999999997,0.04
0.01544000000000001,0.04
0.015480000000000008,0.04
0.015520000000000006,0.04
0.015560000000000004,0.06
0.015600000000000003,0.04
0.01564,0.04
0.01568,0.04
0.015719999999999998,0.04
0.015759999999999996,0.04
0.01580000000000001,0.04
0.015840000000000007,0.04
0.015880000000000005,0.06
0.015920000000000004,0.04
0.015960000000000002,0.06
0.016,0.06
0.01604,0.04
0.016079999999999997,0.04
0.01612000000000001,0.04
0.016160000000000008,0.04
0.016200000000000006,0.04
0.016240000000000004,0.04
0.016280000000000003,0.02
0.01632,0.04
0.01636,0.02
0.016399999999999998,0.04
0.016439999999999996,0.04
0.01648000000000001,0.04
0.016520000000000007,0.02
0.016560000000000005,0.0
0.016600000000000004,0.04
0.016640000000000002,0.04
0.01668,0.04
0.01672,0.04
0.016759999999999997,0.04
0.01680000000000001,0.04
0.016840000000000008,0.04
0.016880000000000006,0.06
0.016920000000000004,0.04
0.016960000000000003,0.04
0.017,0.04
0.01704,0.06
0.017079999999999998,0.04
0.017119999999999996,0.04
0.01716000000000001,0.04
0.017200000000000007,0.04
0.017240000000000005,0.04
0.017280000000000004,0.04
0.017320000000000002,0.04
0.01736,0.04
0.0174,0.02
0.017439999999999997,0.04
0.01748000000000001,0.04
0.017520000000000008,0.06
0.017560000000000006,0.06
0.017600000000000005,0.04
0.017640000000000003,0.02
0.01768,0.04
0.01772,0.06
0.017759999999999998,0.04
0.017799999999999996,0.04
0.01784000000000001,0.06
0.017880000000000007,0.04
0.017920000000000005,0.04
0.017960000000000004,0.04
0.018000000000000002,0.06
0.01804,0.04
0.01808,0.04
0.018119999999999997,0.04
0.01816000000000001,0.04
0.018200000000000008,0.04
0.018240000000000006,0.04
0.018280000000000005,0.04
0.018320000000000003,0.04
0.01836,0.0
0.0184,0.04
0.018439999999999998,0.04
0.018479999999999996,0.02
0.01852000000000001,0.06
0.018560000000000007,0.04
0.018600000000000005,0.06
0.018640000000000004,0.06
0.018680000000000002,0.04
0.01872,0.04
0.01876,0.04
0.018799999999999997,0.02
0.01884000000000001,0.04
0.018880000000000008,0.02
0.018920000000000006,0.06
0.018960000000000005,0.06
0.019000000000000003,0.04
0.01904,0.04
0.01908,0.06
0.019119999999999998,0.04
0.019159999999999996,0.04
0.01920000000000001,0.04
0.019240000000000007,0.04
0.019280000000000005,0.02
0.019320000000000004,0.04
0.019360000000000002,0.04
0.0194,0.04
0.01944,0.04
0.019479999999999997,0.04
0.01952000000000001,0.04
0.019560000000000008,0.04
0.019600000000000006,0.04
0.019640000000000005,0.04
0.019680000000000003,0.04
0.01972,0.04
0.01976,0.02
0.019799999999999998,0.04
0.019839999999999997,0.06
0.01988000000000001,0.04
0.019920000000000007,0.04
0.019960000000000006,0.06
0.020000000000000004,0.04
0.020040000000000002,0.04
0.02008,0.04
0.02012,0.04
0.020159999999999997,0.04
0.02020000000000001,0.04
0.020240000000000008,0.04
0.020280000000000006,0.04
0.020320000000000005,0.04
0.020360000000000003,0.04
0.0204,0.04
0.02044,0.06
0.020479999999999998,0.04
0.020519999999999997,0.04
0.02056000000000001,0.06
0.020600000000000007,0.04
0.020640000000000006,0.02
0.020680000000000004,0.04
0.020720000000000002,0.04
0.02076,0.06
0.0208,0.04
0.020839999999999997,0.04
0.02088000000000001,0.04
0.020920000000000008,0.04
0.020960000000000006,0.02
0.021000000000000005,0.04
0.021040000000000003,0.06
0.02108,0.04
0.02112,0.04
0.021159999999999998,0.04
0.021199999999999997,0.04
0.02124000000000001,0.04
0.021280000000000007,0.04
0.021320000000000006,0.04
0.021360000000000004,0.04
0.021400000000000002,0.02
0.02144,0.04
0.02148,0.02
0.021519999999999997,0.04
0.02156000000000001,0.04
0.021600000000000008,0.04
0.021640000000000006,0.06
0.021680000000000005,0.04
0.021720000000000003,0.06
0.02176,0.04
0.0218,0.04
0.02184,0.04
0.021879999999999997,0.04
0.02192000000000001,0.04
0.021960000000000007,0.04
0.022000000000000006,0.04
0.022040000000000004,0.06
0.022080000000000002,0.04
0.02212,0.06
0.02216,0.04
0.022199999999999998,0.04
0.02224000000000001,0.04
0.022280000000000008,0.04
0.022320000000000007,0.04
0.022360000000000005,0.02
0.022400000000000003,0.04
0.02244,0.04
0.02248,0.04
0.02252,0.04
0.022559999999999997,0.04
0.02260000000000001,0.04
0.022640000000000007,0.04
0.022680000000000006,0.04
0.022720000000000004,0.06
0.022760000000000002,0.04
0.0228,0.04
0.02284,0.02
0.022879999999999998,0.02
